XY travel [mm]: (0.0, 0.0) -> (0.05, 0.05)
Z travel [mm]: (0) -> (0.5)
XY travel [step]: (0, 0) -> (16, 16)
Z travel [step]: (0) -> (315)
(17 x 17 x 316)
100001,200009,100008,100001,100009,6,100007,100002,5,100005,6,100001,1,100011,9,100004,9
400001,400005,200006,400002,300004,300002,200005,200001,400006,300008,200008,200010,300014,300008,200004,600013,800006
500003,300002,200009,200001,300009,100002,100014,200003,8,200004,200009,100000,300007,300000,8,200002,200011
300004,300011,200004,100006,200002,200002,100002,3,200006,100003,100003,300003,12,100001,800000,700007,800006
900007,700008,200013,200007,300007,300007,400006,300003,200006,300000,500001,300009,300009,300002,300005,300007,300011
100002,100003,100005,100012,100005,500002,500007,500000,600006,500011,700007,700009,500008,500002,500011,500008,500003
1000004,600007,500013,400006,300009,1000005,500003,400007,600004,500015,500012,500003,400005,300001,300005,400004,400007
100002,200005,6,1,100006,6,100006,100003,200005,10,3,100010,100001,400001,500007,300007,500004
700003,400014,500012,300001,500008,500003,600009,500001,500012,500002,500004,500002,400005,300008,600008,300003,400007
200007,3,300001,400008,400006,300005,200005,200004,200006,200001,300006,200011,200006,200000,300008,100006,300003
700003,600009,200005,300001,6,200008,300009,100000,300006,1,200003,100003,100005,100007,300010,2,100004
200009,100004,200004,300005,300005,200001,100008,10,100005,100005,200010,2,3,200011,300009,200005,200005
700007,700003,200006,300003,300014,200004,300010,200003,300006,100005,200005,300004,200008,300005,200007,300004,9
200009,100006,200008,100001,100004,4,200008,13,5,1,100005,200010,4,5,600008,500006,500005
900007,600004,100000,100009,200010,100006,100004,100006,7,1,200005,100006,200007,100004,100009,200005,100011
400013,400002,400003,500004,500004,400004,300004,300001,500002,500012,400008,300011,400003,300003,500007,300002,400006
400003,400011,400007,500005,400004,400001,500005,700002,100005,100003,100001,100000,100007,100001,8,3,200004
