XY travel [mm]: (0.0, 0.0) -> (0.7, 0.7)
Z travel [mm]: (0) -> (0.8)
XY travel [step]: (0, 0) -> (220, 220)
Z travel [step]: (0) -> (504)
(221 x 221 x 505)
3636,4714,2587,5578,5809,15682,10981,10791,11631,9772,8442,12584,1609,11048,12800,13781,13452,13225,17196,12061,15631,16840,14153,2236,9702,14446,15425,2287,2666,3002,2902,20025,2809,20337,18223,18541,20623,3045,3279,3215,3156,3006,3214,2485,3475,6150,3472,5493,3464,5079,3460,3617,4771,6724,6908,6189,6315,5778,6059,3324,5403,5238,3760,4635,5079,3615,4666,3947,3944,4962,3427,2640,4102,4026,3763,4673,5332,3049,3427,8327,8049,8450,8085,8411,7956,8490,8051,3533,8054,8448,8012,8575,8364,8661,8484,8835,8787,9146,9219,9974,9228,9813,9620,10440,10434,10517,15179,11563,2792,13354,13219,13662,12193,13703,2274,13623,16047,14089,15180,14040,15673,19750,16083,18452,12679,17836,11513,12631,20245,6399,9575,6517,1492,1977,1621,96,5,90,36,93,3266,68,7797,8,34,8789,279,816,1019,8795,6270,8699,7497,5747,7657,6844,7139,7500,5405,6522,5373,5743,8022,1163,5775,5900,6637,6763,1626,7269,1737,1661,1489,1740,2659,2028,1695,2023,2102,1620,1994,1663,1786,1990,1817,2024,2421,2066,10606,12407,7187,5321,7885,8243,5042,3864,4511,3537,3681,2883,2301,588,2671,2557,2582,2440,2846,11907,7227,938,3,4717,38,795,2665,395,420,2645,2863,2400,2420
2359,1999,2276,1910,5373,4437,5536,5766,11636,2202,12066,11550,10704,9308,11646,14560,16887,15596,14131,14035,12136,11417,13225,17603,11516,20415,13844,2190,2682,2585,15371,2633,1047,3348,20500,3068,3052,2939,3335,2980,3090,2683,3177,2935,14903,7308,3209,8444,3373,3527,5039,4862,4870,3844,6636,3799,3660,3429,4716,5685,5329,3888,3907,3800,6069,3806,5163,3729,4594,4226,2479,3918,4025,4054,3377,4387,3051,3771,3654,3523,8492,8014,8577,7918,3454,3426,8533,7972,8540,7967,8580,8512,8662,8064,8915,9224,9062,8911,9147,9100,9362,9380,9932,9786,10274,10196,10626,10437,11518,2835,13139,2626,2360,13377,13655,2465,15120,13418,15560,17199,16054,16421,8325,4318,20386,6465,1084,16048,18658,16992,12328,11675,1537,2339,102,2194,97,10856,11478,13092,62,3,58,13,85,116,2482,456,281,7014,199,1018,288,99,8543,8513,8209,7698,7627,13171,8492,6939,6065,6907,6144,11211,6020,6272,1120,6713,1494,1519,3782,5368,3301,1984,3051,2005,1200,1199,1530,1289,2722,2477,1460,2034,3909,8481,1985,2010,15919,1940,18129,1925,2764,13615,14595,6591,395,9255,3375,3277,2271,2478,5940,2674,3087,6269,2646,2590,2644,2844,74,4902,1700,2366,2803,2879,2924,2673,2024
4218,1247,2798,5860,894,194,15342,14316,11945,11440,10392,10749,6056,11090,12236,10829,14562,14631,8664,15016,9380,17441,11132,17126,19571,13850,2289,17197,2627,2560,2361,9232,1072,2970,2936,3091,3073,3170,3139,3095,4136,11051,3121,2514,3731,3781,3334,5814,5443,5537,5336,3499,5278,4349,3348,3740,6226,6235,6279,5165,5043,3741,5450,3458,5225,5650,6147,5156,5163,4916,5084,3333,2904,6107,5770,3049,3260,3457,3891,4185,3729,9061,8877,8910,8626,8579,8564,8622,8669,8745,8660,9109,8833,9069,8826,9108,9142,9730,9221,9774,9881,2967,10236,10514,10039,10791,2664,12026,11546,2438,17648,10830,12153,2233,15962,15311,2820,15829,14563,16663,20546,17354,14195,20139,17442,19534,16820,17637,4994,15598,19809,586,453,10151,10824,4921,167,10708,48,20546,-2,121,6632,7503,9099,12716,446,487,446,232,224,705,7881,6974,12475,9104,7268,7801,8665,6197,14397,15224,6267,12249,6434,8247,6934,6148,3938,1495,3126,1452,2034,2683,1580,10182,2066,1499,1895,2563,11304,2024,1772,2274,1963,2027,19575,10785,1891,4840,4429,16921,4412,15451,865,5325,916,649,3467,2329,2630,388,3426,1938,2075,2402,2869,2724,2835,7624,2861,1247,3,2714,2707,813,2749,287,2796,2143,660
1453,1958,1618,1826,899,1252,193,117,30,10045,9889,9369,11736,11100,15134,14654,13545,14859,14269,13994,14181,15218,14687,12065,12210,2289,2319,2531,2441,15675,20341,2716,16370,10781,2846,2901,3868,2694,2931,2906,5812,2937,4720,3888,2360,3296,3494,6057,3208,3383,4756,3725,4636,3632,6843,6859,5618,5232,5163,3764,5537,4716,5370,5324,2597,6191,5329,3603,5457,5210,3209,3082,3538,3428,3172,3542,3659,3513,3654,3426,4142,3282,3742,3839,8628,3281,8537,8916,8627,8875,8709,8830,9452,9228,9230,9146,9536,9306,9772,9339,9890,10047,10139,10271,10700,10889,11640,11306,11560,20235,11557,12366,11433,13307,12222,2708,17025,2808,15017,17523,13272,17520,19750,17690,17152,14120,9366,15803,13506,17199,17368,3511,20385,11291,20578,3067,6513,2817,4183,2706,1283,65,357,345,7887,11512,426,836,41,100,107,26,652,224,337,374,10141,8055,7751,8634,10517,6351,8326,7919,6319,8096,1200,1411,6716,8057,7792,1565,4030,1442,2561,2272,1662,2706,1410,2261,1418,2078,3614,1118,2158,1623,1497,2531,9035,13300,18818,2034,2066,300,10597,1940,11333,19802,11409,5168,9403,8744,2350,2478,2802,1347,3458,2792,2683,2941,2405,2827,2394,2776,3128,2905,2798,2943,2924,3170,2272
1040,460,723,697,653,7584,7579,7502,10352,11987,12363,12543,11015,12582,14821,12803,1738,14910,15593,6152,12717,14829,13824,2194,2151,11094,2224,12074,18024,14285,2624,19772,3802,4224,2981,2801,3282,2846,2943,2804,3074,4062,3846,3009,3332,3052,3677,3008,2821,3332,3117,3135,4008,3376,3663,6762,3221,5331,6269,3451,5405,5455,4664,5580,3543,5614,6437,5460,5368,5456,5385,6601,6168,4064,3853,3254,3652,3699,3469,3903,3730,4263,3189,3981,4122,9186,3720,9192,9056,9233,8881,9151,9010,9271,8920,9658,9230,9570,9344,9847,9657,10913,10035,10828,10350,11439,11469,11553,12273,12408,12489,12208,2676,2279,2718,14037,2638,15450,2538,15765,16618,18732,15142,17835,18266,4225,15097,5409,19688,8006,49,11519,5405,5535,3839,2070,11014,2719,946,12880,664,10433,13214,20366,40,77,303,400,278,805,1071,1167,8403,8666,7882,10587,6313,7584,632,8718,5368,9694,5644,1083,1319,1411,7581,6971,4136,8496,3838,2679,2528,1537,1548,481,1473,1289,1108,1339,1997,2488,2253,3328,3238,13782,1695,1205,2296,1781,4957,5660,5732,9188,18104,10231,156,8705,13176,2515,2542,2351,2376,3692,3772,3374,2972,2795,2416,2957,248,2720,2633,2685,2625,581,415,2482,2732,2313,1910
517,568,1038,916,1125,1283,5983,1064,6483,6636,9807,9223,9228,7463,12764,12718,11513,4862,7927,6593,12375,14281,13999,20587,11521,3014,817,2404,8250,15879,15637,20564,4388,20523,19357,2545,2799,3436,5120,3016,5121,3257,4799,4904,2883,6593,800,3171,6519,3379,1860,5407,3451,3166,7014,3563,8405,5374,5737,6224,5810,2878,3697,3471,5900,6040,5698,3222,6757,6266,6591,3390,3824,3472,3988,3854,4424,4431,4149,3937,4718,4467,4925,4512,9492,9233,9317,8789,9488,8789,9290,9009,3373,9263,9653,9409,9847,3208,9929,10238,10007,10279,11636,10480,2884,3301,2758,2674,11858,10735,12222,12287,12887,13826,16411,2579,2674,2878,17894,12022,16592,13790,16333,13012,18316,14435,16290,15264,11990,20533,20581,9413,20484,4713,82,13259,1502,7283,99,14073,96,8281,17122,10155,2810,18303,12110,9924,351,270,1031,810,1130,1054,7713,1200,12135,7312,8918,7664,7880,20091,9274,16091,7798,8664,9104,7962,6883,15093,3627,6587,109,8236,3010,1588,1208,1860,1202,1816,1702,1682,1985,1544,2360,1563,1490,686,1451,2106,18682,12364,5244,782,14447,1695,7348,11792,4147,7581,588,2373,9494,3089,9532,2285,2445,3797,3615,10013,2764,2360,2800,2814,2799,2938,2721,2911,2963,2529,1907
81,804,609,5730,1094,6240,6369,9657,6686,9359,6880,12332,9259,10702,12444,12800,11742,10785,14476,12176,15059,13133,11680,16930,12153,18249,17199,16455,2417,2072,16825,9527,2679,2519,2657,5572,2901,2887,3020,2971,3537,4551,4801,4514,3762,2970,5046,4145,3164,3010,2900,3498,3167,6359,3039,6478,7094,6069,6482,7632,8908,3495,7151,3701,2991,3048,3701,6023,5686,6890,3724,6764,6892,4717,4667,4057,3927,4510,4398,4263,3605,4916,4441,5076,4748,9404,9408,9456,9055,9323,9095,3290,9445,9491,9192,9612,9607,10010,9926,10390,10087,10707,10272,10500,10608,2642,3021,12447,3474,13657,12439,2722,12635,2764,2798,2356,2708,2070,1943,20231,4486,16980,14116,19993,19849,2928,14818,12803,1371,16706,2746,3983,3763,19019,16339,19771,854,20222,19902,10275,20230,8046,13909,8409,1155,17800,12364,1617,802,1245,1247,1452,1269,8488,9535,11090,14774,5732,5485,16021,211,13454,11387,341,6225,2683,6495,8542,1888,1124,1054,1702,1693,8708,2485,1784,1680,1415,1819,1495,2200,1575,1782,8166,723,2481,3511,7302,17072,9068,1545,3824,6836,5120,10241,6524,15472,18351,856,2059,2667,2112,4094,4023,2589,3861,3754,4432,4501,3445,2844,2801,3062,2763,3057,3048,2704,1414,2629,136,2347
9,116,966,1860,1740,2010,1858,1859,6235,4407,7143,6683,10154,9147,8948,11021,12544,12197,13688,13378,11902,16204,15409,13817,14400,14563,19794,14521,18008,2386,15508,14929,15274,18065,2478,10859,3257,3121,1286,2980,5894,3921,2562,5170,4880,4850,5692,3116,7501,3378,2802,3018,2722,3148,6638,6232,5978,3470,6715,6096,7187,6317,6564,3498,6404,6189,3288,3099,7308,6976,7272,6947,5000,4788,3338,3332,4800,4666,5001,5088,5331,5325,5326,5228,9927,9700,10009,9743,9410,9703,10140,9670,9776,9701,10047,9837,10185,10166,10352,10049,10784,10515,10357,10946,2963,11126,11294,2885,14318,12361,10865,13138,13529,2940,2359,2578,2963,2530,16209,2875,17580,19648,14559,20153,11130,20557,19695,17981,20626,51,8620,20575,13268,17280,12840,4134,13224,12600,10504,2,11733,11748,1499,3471,16651,12604,16138,12524,9444,14645,1497,1374,98,1399,8665,1985,8751,9792,13466,13535,7143,11387,6105,8132,10995,8187,14411,6012,9395,11867,2068,2029,1242,1894,1660,3687,1123,1941,1936,1489,1378,1734,1204,2355,1533,1682,3532,3331,13890,4821,6842,6054,8702,16332,12244,7264,8053,10191,11445,5165,5852,223,2026,2580,4684,2903,2318,2708,2642,3948,13181,3929,4109,2835,2965,3198,2929,2826,2068,2619,79
239,1455,1232,815,2741,6278,2701,6483,6640,7303,7461,12068,12446,9188,8484,9929,11862,12840,14274,13805,14892,14780,15395,1618,15220,15817,16945,20623,17855,16297,18219,13997,18506,18630,15760,12416,2666,15879,3322,5941,3836,5539,2866,5199,3067,4997,3168,4345,4509,3821,3222,3368,3260,7104,3326,7101,7146,3126,8321,7262,7917,3333,7008,6717,7771,6594,6463,6595,6264,7460,7133,3451,7089,3332,7051,4754,3329,4993,4661,5162,5083,5419,5289,5451,5364,10188,5480,10110,9658,10191,9665,10230,9670,10187,9795,10359,10046,10512,10134,2926,10276,10592,10653,11132,2937,3051,2575,12097,12526,12912,2770,2597,13180,14441,2408,2434,2832,13728,19734,14035,15553,20065,20089,9145,18060,8980,6641,19299,11632,19721,8490,9533,5256,6474,1440,14002,9882,11176,8866,7144,5044,20262,17240,54,212,8088,8662,8009,6984,1823,12757,1984,2041,7420,8626,14666,7848,10281,9914,10098,7999,7968,11680,6673,8867,7666,9890,1166,1684,1985,1688,2070,2151,1121,1158,1413,1118,1373,1317,1371,1039,842,1059,2275,2066,4140,4745,11049,3429,6193,6153,12771,7540,10824,7318,10587,7698,8992,8128,2157,1968,4795,3329,4558,4416,4303,2583,3171,2848,3983,2529,2761,2722,2640,2274,2845,2713,627,2703,101,340
101,341,810,699,2398,1020,627,2772,814,630,7143,6765,7994,7627,7345,10984,10361,10977,12172,8324,14355,11831,16962,10205,12180,15263,16921,16288,17971,14431,17674,18067,6525,17073,2358,14077,9814,5202,16881,5043,19961,3804,16652,2794,5200,5366,5899,20248,6594,4660,18407,3036,3049,2881,7104,6825,3044,5123,8049,8006,3217,3563,10636,7415,8362,6883,7836,7799,7875,7734,3442,10659,5660,5406,5037,3333,5451,3764,5660,5368,5853,5592,5976,5526,6017,5753,10439,9969,10352,9966,10319,9919,10181,10165,10355,10162,10399,10404,10869,10698,10921,3012,11216,11173,11561,2940,12327,3019,12250,2903,13141,2802,2681,14204,14860,15557,2288,2632,14367,20410,12802,13334,15148,20408,15310,2155,149,20557,7427,15998,17422,18025,13737,6985,969,17484,11174,11096,7623,5405,14697,10781,4134,4277,11686,14692,20468,10196,20632,8404,12288,8666,2192,2210,2357,2184,10357,7377,372,3700,12842,11427,29,7277,9142,16291,12110,49,405,7697,1624,1611,1509,1066,931,413,1165,1101,760,1148,1082,1020,759,1332,1580,1379,6361,9654,17919,2940,11557,3477,7225,8505,9771,7172,10271,16987,8787,6227,2196,5627,7590,2254,5327,6347,4996,5044,3334,3226,3864,2943,2968,2362,3052,2936,1004,3066,79,913,3050
