XY travel [mm]: (0.0, 0.0) -> (0.04, 0.04)
Z travel [mm]: (0) -> (1.0)
XY travel [step]: (0, 0) -> (13, 13)
Z travel [step]: (0) -> (630)
(14 x 14 x 631)
42,23,36,25,39,33,44,20,44,25,39,31,47,19
29,37,31,42,27,46,28,42,27,44,31,46,28,46
38,26,42,26,40,26,38,25,44,25,44,27,41,27
25,45,29,43,29,43,21,39,29,41,34,38,30,41
38,20,42,22,42,28,42,31,44,27,39,33,53,28
29,45,37,48,35,42,38,51,30,51,34,50,27,49
41,17,35,31,48,30,40,27,44,26,49,25,50,38
31,46,26,48,23,41,35,47,34,47,33,44,36,44
47,37,49,35,46,31,46,32,48,34,44,39,56,33
39,44,34,46,32,48,36,52,37,49,35,59,36,42
53,37,49,29,45,29,49,34,54,35,49,24,43,27
30,51,31,53,38,45,43,47,39,51,37,57,39,45
47,32,46,34,46,34,50,32,48,31,47,27,56,36
34,52,36,53,33,51,48,44,27,51,40,54,38,49
