XY travel [mm]: (0.0, 0.0) -> (0.05, 0.05)
Z travel [mm]: (0) -> (0.7)
XY travel [step]: (0, 0) -> (16, 16)
Z travel [step]: (0) -> (441)
(17 x 17 x 442)
18048,2,18046,2,18046,5,18044,4,18045,4,18044,6,18047,2,18047,16387,34427
32771,50811,32770,50812,32767,50813,32773,50812,32773,50810,32771,34431,16392,34428,16385,34429,32765
34425,16388,34430,16390,34427,16387,34426,16387,34429,16389,34428,16390,34427,16387,34429,16383,34428
16385,34426,16387,34428,16389,34428,16381,34426,16385,34429,16389,34428,16389,34427,16390,34426,16388
34429,16386,34427,16386,34428,16388,34428,16385,34431,16389,34429,16387,34427,16388,34427,32775,50811
65538,83576,65535,83577,65535,67193,49153,67194,49151,67193,49148,67192,49153,67194,49153,67195,49153
83576,65537,67194,49153,67192,49155,67197,49154,67194,49154,67195,49154,67194,49155,67191,49155,67194
49155,67193,49153,67191,49154,67193,49155,67193,49153,67193,49153,67193,49153,67193,49152,67192,49152
67195,65536,67193,49157,67194,49152,50812,32766,50813,32774,50812,32769,50810,32773,50812,32768,50814
16381,34428,16386,34427,16389,34426,16382,34429,16389,34427,16386,34427,16388,34428,16386,34429,32771
34427,16388,34427,16389,34431,16387,18045,16389,34429,16387,18043,7,18047,2,18043,2,18045
-16381,1662,-16380,1664,-16388,1665,-16376,1663,-16382,1665,-16376,1661,5,18042,4,18046,-11
1660,-16375,1665,-16382,1663,-16377,1662,-16381,-14722,-32767,-14722,-32764,-14723,-32762,-14724,-32763,-14721
-32765,-14719,-32762,-14722,-32765,-14720,-32762,-14722,-32763,-14720,-32763,-14721,-32761,-14723,-32765,-14723,-32759
-14720,-16379,-14721,-32766,-14720,-32761,-14722,-32760,-14721,-16379,1663,-16377,1661,-16376,1662,-16377,1661
-32760,-14721,-32765,-14720,-32763,-14720,-32758,-14722,-32765,-14719,-32763,-14720,-32761,-14720,-16379,1662,-16379
-14722,-16374,1664,-16382,1661,-16378,1660,-16379,1661,-16383,1661,-16379,1663,-16375,1666,-16380,1662
