XY travel [mm]: (0.0, 0.0) -> (0.1, 0.1)
Z travel [mm]: (0) -> (0.8)
XY travel [step]: (0, 0) -> (31, 31)
Z travel [step]: (0) -> (504)
(32 x 32 x 505)
9350,9444,9935,11366,11443,10265,10384,9812,9522,13852,13966,13935,13599,14013,13557,13729,13515,13358,14541,13853,13399,13810,13677,13690,13596,13522,13558,14265,13803,14513,13926,14432
9813,10093,9607,9351,11808,10341,11648,11924,10432,10714,13854,10300,14348,13929,14179,13887,13891,13922,14183,13847,14921,13926,14304,14339,14177,13801,14435,14010,14594,13926,14475,14667
10059,9239,9232,11937,12052,10592,11196,10676,10424,13935,14625,14099,14504,14800,13968,14015,14216,14392,14877,14178,16268,14427,14544,14711,14299,14178,14256,14225,14133,14677,14708,15132
9815,10300,9359,11150,9730,9724,11652,12251,11086,11278,10836,11113,13894,14669,14436,14670,14597,14787,14431,14583,14265,14872,14514,15037,14597,14669,14472,14706,14435,14791,14917,15161
10584,10348,9684,10511,10424,11202,11158,11732,11238,13771,14747,14514,14628,14674,14707,14719,14583,14475,14710,15254,14707,15006,14709,14592,15283,14514,14587,14472,14706,15216,15205,15301
10798,10508,9777,11116,10550,10505,10631,10626,11449,11358,11487,11276,15458,13725,15343,14670,14391,14705,14513,14705,14512,15490,14347,14547,15618,15531,15044,15367,15419,15203,15088,15574
10502,10475,10464,12298,10545,11487,11517,11646,11564,15496,15695,14184,15533,14840,15612,15339,15489,15298,16355,15540,15530,16564,14831,16122,15778,15457,15328,15417,15248,15298,15988,15824
10839,11077,11406,11197,13279,13309,12140,12739,11853,11927,11810,11973,17153,15659,15741,15569,5704,15488,15339,15403,15503,15571,15378,15574,16437,16270,16249,15694,15910,15531,15829,15697
11277,11606,11923,13113,13062,12138,12084,11812,11971,17334,12128,17180,16765,16778,15696,16438,15446,16244,15487,16435,15485,16241,16518,15580,16480,16400,16435,16124,15531,17553,16065,16520
11607,11317,11530,11806,12258,12048,12871,12497,12460,12127,12419,12251,17249,12536,15828,16561,15301,15697,16406,15404,16278,16516,16361,15533,16559,16439,16739,16226,16517,16312,16165,16269
11970,11729,11967,12339,12087,12832,12618,12871,12538,12461,12498,17300,17097,17142,17219,15995,16313,16483,16514,16243,16392,16324,16560,16284,16354,16362,18493,16563,16556,16323,16316,16563
11611,12050,11647,12088,13892,12008,12748,12741,12869,12738,12789,12942,17032,12782,17507,17257,17149,16599,16359,16434,16439,16768,16247,16439,5702,16559,17215,17262,17225,16931,16950,16478
12534,12543,12084,14717,12820,12869,12823,13274,13028,17612,12944,17462,17178,17185,16804,16362,16438,16405,16354,17152,17381,5703,5701,17603,17260,17463,16605,17105,16807,17224,16522,17416
12503,12454,12583,12332,12756,12370,13817,13186,13274,13108,13773,13477,18326,13352,18574,17383,17073,17139,16564,17058,17300,16684,17076,16643,17195,5484,17176,16474,18332,17545,16476,17100
12865,12541,12819,12790,12860,13771,13475,13442,13557,18461,13312,17610,16931,17861,17013,17188,17092,17157,20531,16775,16809,17415,16685,17463,17385,17259,17260,16359,17421,17187,17053,17338
13400,13060,13072,12940,13279,13226,13734,13354,13936,13926,14757,13764,13771,13761,18556,17632,17297,17547,17564,17338,17072,17629,17471,17299,17303,17139,16822,17839,17109,18041,16995,17470
13068,13402,13438,13772,13759,14597,13762,14922,14130,15702,14216,14712,18123,19141,17795,18186,17547,17263,17342,17114,17339,17296,17136,17383,17382,17459,17590,18006,5696,17602,17674,17378
12790,13186,13479,13309,13645,13721,13523,14010,14836,14012,14802,15206,14839,14544,15659,17507,17507,18368,18435,18694,17375,17547,17296,17463,17218,17382,18148,17427,18282,18167,18077,17877
13886,13687,13971,13689,14260,14677,14626,14679,14956,14758,14875,15743,17916,18477,3651,18005,18369,18508,18783,17377,17673,17985,17508,18089,17424,18199,18204,17340,18124,18834,18081,6324
13524,14133,13358,13147,14676,14092,14842,14053,14633,14625,14676,14710,16200,3268,15579,15574,3709,3688,17903,18493,18835,18168,17982,17960,18143,18165,18122,18124,5748,6067,18273,18329
14177,14143,13925,14430,14378,14554,14300,15498,14871,15499,15041,15582,15862,15743,3094,18365,18490,18448,18045,18050,18209,18232,18246,18237,18370,18406,6480,18113,6810,7311,7181,7101
14266,14176,14059,14095,14471,14545,14591,14421,14757,14996,15498,15489,15092,15036,15580,15698,17551,17504,17737,18654,19487,18328,18234,19023,18089,18249,18141,18208,18063,18166,5910,7261
13315,13809,14256,14391,14380,14512,14957,15297,15368,15702,15165,15498,15697,15579,15981,16736,18407,18615,18329,19844,19145,18883,18166,18077,20592,18197,18372,19195,6808,7307,6892,6857
14056,14300,14388,14299,14513,14179,14352,14376,14636,15079,15339,15532,15459,15291,16247,15694,16081,15946,16828,16891,17692,20277,19198,19748,18940,19871,18771,20391,18870,19146,19372,7426
14296,14266,14256,14508,14258,14714,14793,15502,15121,15620,15864,15377,15693,16284,16025,16735,16891,18239,18615,18576,19189,19971,18531,20084,19145,19985,19146,18842,8126,7682,6153,6775
14433,14258,14181,14215,14430,14461,14717,14917,15460,14830,15453,15205,15458,16112,15992,15821,16688,16191,16825,16931,17508,17464,18726,20293,20616,20170,19866,19185,20132,19935,20045,7137
15494,15088,15034,14352,14960,15254,14873,15658,15862,15460,15450,15828,16976,16645,16270,16785,16764,17460,18618,19487,17713,19968,19954,19750,20281,19894,19188,19887,20290,19943,7089,3542
14310,14338,14308,14383,14430,15085,15126,15208,15044,15039,15337,15323,16081,15907,16318,15985,16694,16520,16866,16971,17565,20596,18565,20334,20007,20599,20470,19630,19930,19850,18932,6397
16026,15174,15534,15302,15241,15172,15207,15256,15453,15539,15823,16121,16192,16397,16723,16872,16847,18414,18494,19125,19873,18993,19854,19994,19749,19943,20356,19815,20354,20676,20596,20665
16123,15939,15254,15488,15257,14997,15131,15200,15256,15166,15255,15529,16082,15861,16443,16232,16949,16725,17552,17054,17704,18000,18233,19189,20135,20516,19954,20585,20362,20579,20385,7549
