XY travel [mm]: (0.0, 0.0) -> (0.05, 0.05)
Z travel [mm]: (0) -> (0.5)
XY travel [step]: (0, 0) -> (16, 16)
Z travel [step]: (0) -> (315)
(17 x 17 x 316)
1,5,9,1,5,9,10,11,8,14,18,17,17,10,17,16,17
0,1,4,0,1,1,10,3,2,1,6,6,10,4,7,15,16
0,9,10,7,8,13,15,12,10,6,15,20,16,19,21,15,19
7,1,1,1,4,5,9,1,4,4,9,3,4,7,14,9,16
4,5,2,11,0,10,13,6,10,12,12,18,10,14,17,15,18
7,6,3,3,6,1,2,2,4,2,8,3,10,6,12,17,15
8,2,2,9,7,8,14,9,11,15,13,17,18,17,24,13,16
0,5,2,4,4,2,6,6,9,5,8,6,8,10,8,12,14
3,4,11,4,10,7,11,7,8,18,14,17,16,16,20,17,21
9,1,3,0,2,1,1,3,6,3,5,1,1,5,8,9,20
5,4,5,4,10,8,16,7,11,8,13,16,14,20,12,19,19
2,6,3,5,5,1,3,6,4,5,5,4,9,2,7,14,17
0,12,8,6,7,13,10,16,16,7,14,9,14,21,21,15,19
3,0,3,1,2,1,4,1,5,0,3,6,9,5,15,11,12
1,1,7,4,5,6,8,12,10,10,13,9,14,19,21,15,18
1,8,8,2,3,0,1,5,3,6,4,6,5,4,14,10,15
0,0,3,6,10,16,7,14,17,10,3,15,16,11,19,15,16
