XY travel [mm]: (0.0, 0.0) -> (0.03, 0.03)
Z travel [mm]: (0) -> (0.5)
XY travel [step]: (0, 0) -> (9, 9)
Z travel [step]: (0) -> (315)
(10 x 10 x 316)
12901,0,12901,0,12901,0,12901,0,12901,0
0,12901,0,12901,0,12901,0,12901,0,12901
12901,0,12901,0,12901,0,12901,0,12901,0
0,12901,0,12901,0,12901,0,12901,0,12901
12901,0,12901,0,12901,0,12901,0,12901,0
0,12901,0,12901,0,12901,0,12901,0,12901
12901,0,12901,0,12901,0,12901,0,12901,0
0,12901,0,12901,0,12901,0,12901,0,12901
12901,0,12901,0,12901,0,12901,0,12901,0
0,12901,0,12901,0,12901,0,12901,0,12901
