XY travel [mm]: (0.0, 0.0) -> (0.05, 0.05)
Z travel [mm]: (0) -> (0.7)
XY travel [step]: (0, 0) -> (16, 16)
Z travel [step]: (0) -> (441)
(17 x 17 x 442)
-1,0,0,-2,0,-1,-1,-1,0,0,0,-1,0,-1,0,-1,-1
82,82,82,81,81,82,83,82,83,81,83,81,82,82,81,81,1
80,162,162,162,161,162,160,161,160,162,161,162,161,162,162,161,162
245,244,244,244,245,243,244,244,244,243,244,243,243,244,243,244,161
245,324,324,324,325,324,324,323,323,324,324,324,325,325,325,324,325
406,407,406,407,407,407,407,405,406,406,405,405,407,406,406,406,325
406,488,486,487,486,487,485,485,487,487,486,486,488,487,486,486,487
570,568,570,569,570,568,570,570,569,567,569,569,569,569,570,568,486
569,649,649,650,649,649,650,650,650,649,649,650,649,650,649,650,649
732,732,732,732,732,732,731,733,733,731,733,732,731,731,731,732,650
732,811,811,810,811,811,812,811,812,811,810,812,812,812,811,811,812
895,892,895,895,894,895,895,896,895,895,894,893,894,894,895,896,812
894,976,976,975,976,975,976,975,975,975,974,975,977,974,976,976,974
1057,1057,1057,1057,1056,1057,1056,1056,1057,1056,1057,1056,1056,1056,1057,1057,974
1057,1137,1137,1137,1136,1137,1136,1136,1136,1137,1137,1137,1137,1137,1135,1137,1137
1220,1219,1219,1217,1219,1220,1220,1220,1221,1219,1220,1218,1220,1220,1220,1218,1137
1220,1300,1299,1299,1300,1301,1299,1299,1300,1300,1300,1300,1299,1300,1299,1299,1300
